dianziyinxiangji 电子印象机
dianziyinxiangji 电子印像机
diaochuitouying 吊锤投影
diebiaoxian 叠标线
diefu 叠幅
diejia 叠加
dieshantiaowentu 叠栅条纹图
dieyin 叠印
dingbancedian 顶板测点
dingce 定测
dingguanceliang 顶管测量
dingshensaohai 定深扫海
dingweibiaoji 定位标记
dingweidianjianju 定位点间距
dingweijiansuo 定位检索
dingweitongjitubiaofa 定位统计图表法
dingweixitong 定位系统
dingxianceliang 定线测量
dingxiangdian 定向点
dingxianglianjieceliang 定向连接测量
dingxianglianjiedian 定向连接点
dingxiangtianxian 定向天线
dingxiangtouying 定向投影
dingxiangwucha 定向误差
dingxiangyundongditu 定向运动地图
dingxingjiansuo 定性检索
dingyizai 定义在
dingying 定影
donghuayindao 动画引导
donghuazhitu 动画制图
dongjiebijiaoquantu 冻结壁交圈图
dongjiefashigongceliang 冻结法施工测量
donglidadiceliangxue 动力大地测量学
dongtaibianliang 动态变量
dongtaidijingfangzhen 动态地景仿真
dongtaiditu 动态地图
dongtaidingwei 动态定位
dongtaiyaoganqi 动态遥感器
dongxixingdenggaoceshifa 东西星等高测时法
dudesenchangshu 杜德森常数
dulijiaohuigaochengdian 独立交会高程点
dulizuobiaoxi 独立坐标系
dupan 度盘
duancengweiyiceliang 断层位移测量
duanmianyi 断面仪
duibochang 对波长
duijiaomujing 对角目镜
duijingtu 对景图
duiliucengzheshegaizheng 对流层折射改正
duishuchi 对数尺
duiwujuzai 对物距在
duizhonggan 对中杆
duobeiyi 多倍仪
duobianxingditu 多边形地图
duobianxingjiegou 多边形结构
duobianxingpingchafa 多边形平差法
duoboshuceshen 多波束测深
duoboshuceshenxitong 多波束测深系统
duocengjiegou 多层结构
duojijiuzheng 多级纠正
duojiaodiantouying 多焦点投影
duojiaogaochengdaoxian 多角高程导线
duolisixitong 多里斯系统
duolujingxiaoying 多路径效应
duomeitiditu 多媒体地图
duonianpingjunhaimian 多年平均海面
duopuduansaomiaoyi 多谱段扫描仪
duopuduansheying 多谱段摄影
duopuduansheyingji 多谱段摄影机
duopuduanyaogan 多谱段遥感
duopuledandiandingwei 多普勒单点定位
duopuleduanhufadingwei 多普勒短弧法定位
duopulejishu 多普勒计数
duopuleliancedingwei 多普勒联测定位
duopuleshengna 多普勒声呐
duoshixiangfenxi 多时相分析
duoshixiangyaogan 多时相遥感
duoxingdenggaofa 多星等高法
duoyongtudiji 多用途地籍
duoyuguance 多余观测
duoyuanzhuitouying 多圆锥投影
etewoshixiaoying 厄特沃什效应
erbeizhaozhunbuhucha 二倍照准部互差
erbeizhaozhuncha 二倍照准差
erzhekehuhuan 二者可互换
erzhituxiang 二值图像
fafangcheng 法方程
faguangerjiguan 发光二极管
fajiemian 法截面
fayigaizheng 法伊改正
fancha 反差
fanchaxishu 反差系数
fanchazengqiang 反差增强
fanliti 反立体
fanlitixiaoying 反立体效应
fanshebopu 反射波谱
fanshuguangdaoguansheyingji 反束光导管摄影机
fanweifa 范围法
fanxiang 反像
fanzhuanpian 反转片
fangbodi 防波堤
fangcha 方差
fangchayixiefangchachuanbolv 方差一协方差传播律
fangchayixiefangchazhen 方差一协方差阵
fangchayinzi 方差因子
fangdichandiji 房地产地籍
fanggefa 方格法
fanggewangdian 方格网点
fangliwang 方里网
fangpaishuixitongtu 防排水系统图
fangshejiuzheng 仿射纠正
